TimeStamp;RH;C
2020-10-02 07:17;60,03;17,42
2020-10-02 07:32;60,53;17,42
2020-10-02 07:47;60,53;17,42
2020-10-02 08:02;60,53;17,42
2020-10-02 08:17;60,53;17,42
2020-10-02 08:32;60,53;17,42
2020-10-02 08:47;60,53;17,42
2020-10-02 09:02;60,53;17,42
2020-10-02 09:17;60,53;17,42
2020-10-02 09:32;60,53;17,42
2020-10-02 09:47;60,03;17,42
2020-10-02 10:02;60,03;17,42
2020-10-02 10:17;60,03;17,72
2020-10-02 10:32;60,03;18,02
2020-10-02 10:47;60,03;18,02
2020-10-02 11:02;60,03;17,42
2020-10-02 11:17;60,03;17,42
2020-10-02 11:32;60,03;17,42
2020-10-02 11:47;60,53;17,42
2020-10-02 12:02;60,53;17,42
2020-10-02 12:17;60,53;17,42
2020-10-02 12:32;60,53;17,42
2020-10-02 12:47;60,53;17,42
2020-10-02 13:02;60,53;17,42
2020-10-02 13:17;60,53;17,42
2020-10-02 13:32;60,53;17,42
2020-10-02 13:47;60,53;18,02
2020-10-02 14:02;60,53;17,42
2020-10-02 14:17;60,53;17,42
2020-10-02 14:32;60,53;17,42
2020-10-02 14:47;60,03;17,42
2020-10-02 15:02;60,03;17,42
2020-10-02 15:17;60,53;17,42
2020-10-02 15:32;60,53;17,42
2020-10-02 15:47;60,53;17,42
2020-10-02 16:02;60,53;17,42
2020-10-02 16:17;60,53;17,42
2020-10-02 16:32;60,03;17,42
2020-10-02 16:47;60,03;17,42
2020-10-02 17:02;60,53;17,42
2020-10-02 17:17;60,53;17,42
2020-10-02 17:32;60,53;17,42
2020-10-02 17:47;60,53;17,42
2020-10-02 18:02;60,53;17,42
2020-10-02 18:17;60,53;17,42
2020-10-02 18:32;60,53;17,72
2020-10-02 18:47;60,53;17,72
2020-10-02 19:02;60,53;17,72
2020-10-02 19:17;60,53;17,72
2020-10-02 19:32;60,53;17,72
2020-10-02 19:47;60,53;17,72
2020-10-02 20:02;60,53;17,72
2020-10-02 20:17;60,53;17,72
2020-10-02 20:32;60,53;17,72
2020-10-02 20:47;60,53;17,72
2020-10-02 21:02;60,53;17,42
2020-10-02 21:17;60,53;17,72
2020-10-02 21:32;60,53;17,42
2020-10-02 21:47;60,53;17,42
2020-10-02 22:02;60,53;17,42
2020-10-02 22:17;60,53;17,42
2020-10-02 22:32;60,53;17,42
2020-10-02 22:47;60,53;17,42
2020-10-02 23:02;60,53;17,42
2020-10-02 23:17;60,53;17,42
2020-10-02 23:32;60,53;17,42
2020-10-02 23:47;60,53;17,42
2020-10-03 00:02;60,53;17,42
2020-10-03 00:17;60,53;17,42
2020-10-03 00:32;60,53;17,42
2020-10-03 00:47;60,53;17,42
2020-10-03 01:02;60,53;17,42
2020-10-03 01:17;60,53;17,42
2020-10-03 01:32;60,53;17,42
2020-10-03 01:47;60,53;17,42
2020-10-03 02:02;60,03;17,42
2020-10-03 02:17;60,53;17,42
2020-10-03 02:32;60,53;17,42
2020-10-03 02:47;60,53;17,42
2020-10-03 03:02;60,53;17,42
2020-10-03 03:17;60,53;17,42
2020-10-03 03:32;60,53;17,42
2020-10-03 03:47;60,53;17,42
2020-10-03 04:02;60,53;17,42
2020-10-03 04:17;60,53;17,42
2020-10-03 04:32;60,53;17,42
2020-10-03 04:47;60,53;17,42
2020-10-03 05:02;60,53;17,42
2020-10-03 05:17;60,53;17,42
2020-10-03 05:32;60,53;17,42
2020-10-03 05:47;60,03;17,42
2020-10-03 06:02;60,03;17,42
2020-10-03 06:17;60,03;17,42
2020-10-03 06:32;60,03;17,42
2020-10-03 06:47;60,03;17,42
2020-10-03 07:02;60,03;17,42
2020-10-03 07:17;60,03;17,42
2020-10-03 07:32;60,03;17,72
2020-10-03 07:47;60,03;17,72
2020-10-03 08:02;60,03;17,72
2020-10-03 08:17;60,03;17,72
2020-10-03 08:32;60,03;17,72
2020-10-03 08:47;60,03;17,72
2020-10-03 09:02;60,03;17,72
2020-10-03 09:17;60,03;17,72
2020-10-03 09:32;60,03;17,72
2020-10-03 09:47;60,03;17,72
2020-10-03 10:02;60,03;17,72
2020-10-03 10:17;60,03;17,72
2020-10-03 10:32;60,03;17,72
2020-10-03 10:47;60,03;17,72
2020-10-03 11:02;60,03;17,72
2020-10-03 11:17;60,03;17,72
2020-10-03 11:32;60,03;17,72
2020-10-03 11:47;60,03;17,42
2020-10-03 12:02;60,03;17,42
2020-10-03 12:17;60,03;17,42
2020-10-03 12:32;60,03;18,02
2020-10-03 12:47;60,03;18,02
2020-10-03 13:02;60,03;18,02
2020-10-03 13:17;60,03;17,72
2020-10-03 13:32;60,03;17,72
2020-10-03 13:47;60,03;17,72
2020-10-03 14:02;60,03;17,72
2020-10-03 14:17;60,03;17,72
2020-10-03 14:32;60,03;17,72
2020-10-03 14:47;60,03;17,72
2020-10-03 15:02;60,03;17,72
2020-10-03 15:17;60,03;17,72
2020-10-03 15:32;60,03;17,72
2020-10-03 15:47;60,03;18,02
2020-10-03 16:02;60,03;18,02
2020-10-03 16:17;60,03;18,02
2020-10-03 16:32;60,03;18,02
2020-10-03 16:47;60,03;18,02
2020-10-03 17:02;60,03;18,02
2020-10-03 17:17;60,03;18,02
2020-10-03 17:32;60,03;17,42
2020-10-03 17:47;60,03;18,02
2020-10-03 18:02;60,03;17,42
2020-10-03 18:17;60,03;17,42
2020-10-03 18:32;60,03;17,42
2020-10-03 18:47;60,03;17,42
2020-10-03 19:02;60,53;17,42
2020-10-03 19:17;60,53;17,42
2020-10-03 19:32;60,53;17,42
2020-10-03 19:47;60,53;17,42
2020-10-03 20:02;60,53;17,42
2020-10-03 20:17;60,53;17,42
2020-10-03 20:32;60,53;17,72
2020-10-03 20:47;60,53;17,72
2020-10-03 21:02;60,53;17,72
2020-10-03 21:17;60,53;17,72
2020-10-03 21:32;60,53;17,72
2020-10-03 21:47;60,53;17,72
2020-10-03 22:02;60,53;17,72
2020-10-03 22:17;60,53;17,72
2020-10-03 22:32;60,53;17,72
