TimeStamp;RH
30.9.2020 19:02;93,1
30.9.2020 19:17;93,1
30.9.2020 19:32;92,1
30.9.2020 19:47;91,1
30.9.2020 20:02;91,6
30.9.2020 20:17;92,1
30.9.2020 20:32;93,1
30.9.2020 20:47;93,1
30.9.2020 21:02;95,5
30.9.2020 21:17;96,5
30.9.2020 21:32;97,5
30.9.2020 21:47;98,5
30.9.2020 22:02;99,9
30.9.2020 22:17;100,4
30.9.2020 22:32;100,9
30.9.2020 22:47;102,9
30.9.2020 23:02;103,4
30.9.2020 23:17;104,3
30.9.2020 23:32;105,3
30.9.2020 23:47;105,3
1.10.2020 0:02;105,3
1.10.2020 0:17;105,3
1.10.2020 0:32;106,8
1.10.2020 0:47;108,2
1.10.2020 1:02;106,8
1.10.2020 1:17;106,3
1.10.2020 1:32;109,7
1.10.2020 1:47;111,7
1.10.2020 2:02;112,6
1.10.2020 2:17;113,1
1.10.2020 2:32;-12,5
1.10.2020 2:47;-12
1.10.2020 3:02;-12
1.10.2020 3:17;-12,5
1.10.2020 3:32;-13
1.10.2020 3:47;-13,5
1.10.2020 4:02;105,3
1.10.2020 4:17;103,4
1.10.2020 4:32;105,3
1.10.2020 4:47;107,3
1.10.2020 5:02;110,2
1.10.2020 5:17;110,7
1.10.2020 5:32;113,1
1.10.2020 5:47;-9,4
1.10.2020 6:02;-5,9
1.10.2020 6:17;-4,9
1.10.2020 6:32;-3,8
1.10.2020 6:47;-3,3
1.10.2020 7:02;-3,3
1.10.2020 7:17;-3,8
1.10.2020 7:32;-4,9
1.10.2020 7:47;-4,9
1.10.2020 8:02;-5,4
1.10.2020 8:17;-7,9
1.10.2020 8:32;-8,9
1.10.2020 8:47;-8,9
1.10.2020 9:02;-8,9
1.10.2020 9:17;-9,9
1.10.2020 9:32;-11
1.10.2020 9:47;-9,4
1.10.2020 10:02;-13,5
1.10.2020 10:17;110,2
1.10.2020 10:32;108,7
1.10.2020 10:47;106,8
1.10.2020 11:02;104,8
1.10.2020 11:17;101,9
1.10.2020 11:32;98
1.10.2020 11:47;95,5
1.10.2020 12:02;93,6
1.10.2020 12:17;95,5
1.10.2020 12:32;91,1
1.10.2020 12:47;90,6
1.10.2020 13:02;91,1
1.10.2020 13:17;89,6
1.10.2020 13:32;90,6
1.10.2020 13:47;89,6
1.10.2020 14:02;89,1
1.10.2020 14:17;88,6
1.10.2020 14:32;88,2
1.10.2020 14:47;87,2
1.10.2020 15:02;88,2
1.10.2020 15:17;89,1
1.10.2020 15:32;89,1
1.10.2020 15:47;89,6
1.10.2020 16:02;89,1
1.10.2020 16:17;91,1
1.10.2020 16:32;93,1
1.10.2020 16:47;95
1.10.2020 17:02;96
1.10.2020 17:17;98
1.10.2020 17:32;96
1.10.2020 17:47;92,6
1.10.2020 18:02;95
1.10.2020 18:17;97
1.10.2020 18:32;98
1.10.2020 18:47;100,4
1.10.2020 19:02;100,4
1.10.2020 19:17;101,9
1.10.2020 19:32;103,4
1.10.2020 19:47;104,8
1.10.2020 20:02;104,8
1.10.2020 20:17;105,8
1.10.2020 20:32;106,3
1.10.2020 20:47;106,8
1.10.2020 21:02;107,3
1.10.2020 21:17;106,8
1.10.2020 21:32;105,8
1.10.2020 21:47;106,8
1.10.2020 22:02;107,3
1.10.2020 22:17;108,7
1.10.2020 22:32;110,2
1.10.2020 22:47;110,2
1.10.2020 23:02;110,2
1.10.2020 23:17;110,2
1.10.2020 23:32;110,7
1.10.2020 23:47;109,7
2.10.2020 0:02;110,7
2.10.2020 0:17;112,1
2.10.2020 0:32;111,7
2.10.2020 0:47;112,1
2.10.2020 1:02;112,1
2.10.2020 1:17;110,7
2.10.2020 1:32;111,2
2.10.2020 1:47;111,2
2.10.2020 2:02;111,7
2.10.2020 2:17;110,7
